VHSBNR;VNR;VNAME;NHSBNR;NNR;NNAME;ZEIT
101;1;"Dresden Bahnhof Mitte";101;1;"Dresden Bahnhof Mitte";300
101;1;"Dresden Bahnhof Mitte";105;1;"Dresden Bahnhof Mitte";300
101;1;"Dresden Bahnhof Mitte";105;1;"Dresden Bahnhof Mitte";180
101;1;"Dresden Bahnhof Mitte";107;1;"Dresden Bahnhof Mitte";180
101;1;"Dresden Bahnhof Mitte";107;1;"Dresden Bahnhof Mitte";180
102;1;"Dresden Bahnhof Mitte";103;1;"Dresden Bahnhof Mitte";120
102;1;"Dresden Bahnhof Mitte";104;1;"Dresden Bahnhof Mitte";120
102;1;"Dresden Bahnhof Mitte";105;1;"Dresden Bahnhof Mitte";180
102;1;"Dresden Bahnhof Mitte";107;1;"Dresden Bahnhof Mitte";90
102;1;"Dresden Bahnhof Mitte";102;1;"Dresden Bahnhof Mitte";120
103;1;"Dresden Bahnhof Mitte";104;1;"Dresden Bahnhof Mitte";180
103;1;"Dresden Bahnhof Mitte";105;1;"Dresden Bahnhof Mitte";240
103;1;"Dresden Bahnhof Mitte";107;1;"Dresden Bahnhof Mitte";180
103;1;"Dresden Bahnhof Mitte";102;1;"Dresden Bahnhof Mitte";120
103;1;"Dresden Bahnhof Mitte";103;1;"Dresden Bahnhof Mitte";120
104;1;"Dresden Bahnhof Mitte";104;1;"Dresden Bahnhof Mitte";120
104;1;"Dresden Bahnhof Mitte";105;1;"Dresden Bahnhof Mitte";240
104;1;"Dresden Bahnhof Mitte";107;1;"Dresden Bahnhof Mitte";300
104;1;"Dresden Bahnhof Mitte";102;1;"Dresden Bahnhof Mitte";120
104;1;"Dresden Bahnhof Mitte";103;1;"Dresden Bahnhof Mitte";180
105;1;"Dresden Bahnhof Mitte";101;1;"Dresden Bahnhof Mitte";300
105;1;"Dresden Bahnhof Mitte";101;1;"Dresden Bahnhof Mitte";180
105;1;"Dresden Bahnhof Mitte";102;1;"Dresden Bahnhof Mitte";180
105;1;"Dresden Bahnhof Mitte";103;1;"Dresden Bahnhof Mitte";240
105;1;"Dresden Bahnhof Mitte";104;1;"Dresden Bahnhof Mitte";240
107;1;"Dresden Bahnhof Mitte";101;1;"Dresden Bahnhof Mitte";180
107;1;"Dresden Bahnhof Mitte";102;1;"Dresden Bahnhof Mitte";90
107;1;"Dresden Bahnhof Mitte";103;1;"Dresden Bahnhof Mitte";180
107;1;"Dresden Bahnhof Mitte";104;1;"Dresden Bahnhof Mitte";300
107;1;"Dresden Bahnhof Mitte";101;1;"Dresden Bahnhof Mitte";180
301;3;"Dresden Prager Straße";301;3;"Dresden Prager Straße";120
301;3;"Dresden Prager Straße";302;3;"Dresden Prager Straße";120
302;3;"Dresden Prager Straße";301;3;"Dresden Prager Straße";120
302;3;"Dresden Prager Straße";302;3;"Dresden Prager Straße";120
401;4;"Dresden Altmarkt";402;4;"Dresden Altmarkt";180
401;4;"Dresden Altmarkt";401;4;"Dresden Altmarkt";120
402;4;"Dresden Altmarkt";401;4;"Dresden Altmarkt";180
402;4;"Dresden Altmarkt";402;4;"Dresden Altmarkt";120
501;5;"Dresden Pirnaischer Platz";505;5;"Dresden Pirnaischer Platz";480
501;5;"Dresden Pirnaischer Platz";502;5;"Dresden Pirnaischer Platz";180
501;5;"Dresden Pirnaischer Platz";503;5;"Dresden Pirnaischer Platz";180
501;5;"Dresden Pirnaischer Platz";504;5;"Dresden Pirnaischer Platz";180
501;5;"Dresden Pirnaischer Platz";501;5;"Dresden Pirnaischer Platz";120
502;5;"Dresden Pirnaischer Platz";502;5;"Dresden Pirnaischer Platz";120
502;5;"Dresden Pirnaischer Platz";503;5;"Dresden Pirnaischer Platz";180
502;5;"Dresden Pirnaischer Platz";504;5;"Dresden Pirnaischer Platz";240
502;5;"Dresden Pirnaischer Platz";501;5;"Dresden Pirnaischer Platz";180
502;5;"Dresden Pirnaischer Platz";505;5;"Dresden Pirnaischer Platz";420
503;5;"Dresden Pirnaischer Platz";503;5;"Dresden Pirnaischer Platz";120
503;5;"Dresden Pirnaischer Platz";504;5;"Dresden Pirnaischer Platz";180
