VNR;VNAME;NNR;NNAME;ZEIT
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";300
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";300
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";120
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";90
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";120
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";120
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";120
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";240
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";120
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";120
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";240
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";300
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";120
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";300
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";240
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";240
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";180
1;"Dresden Bahnhof Mitte";1;"Dresden Bahnhof Mitte";90
